Unnamed: 0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,price_category
3991,133.2,district_heating,1,1,40.0,1358.64,2019.0,115136497,1,1,1158.84,66.6,first_time_use,3,1,apartment,2.0,2.0,5.0,0,Tiergarten_Tiergarten,66.6,0,"Heidestraße 19, 10557 Berlin, Germany",above_average
3992,116.0,central_heating,0,0,40.0,787.0,1954.0,105344658,0,0,671.0,44.75,first_time_use,2,0,ground_floor,1.0,1.0,6.0,0,Schöneberg_Schöneberg,35.1,1,"Freiherr-vom-Stein-Str. 5, 10825 Berlin, Germany",below_average
3993,300.0,central_heating,0,1,40.0,1688.0,1910.0,95115985,1,1,1388.0,110.0,mint_condition,2,0,terraced_flat,4.0,0.0,2.0,1,Buckow_Neukölln,140.5,0,"Alt-Buckow 12, 12349 Berlin, Germany",above_average
3994,135.0,central_heating,0,0,40.0,1281.0,1980.0,115187427,0,0,1077.0,86.18,first_time_use_after_refurbishment,3,0,apartment,3.0,5.0,5.0,0,Wedding_Wedding,69.0,0,"Soldiner Str. 35, 13359 Berlin, Germany",below_average
3995,165.21,district_heating,0,0,40.0,689.97,1938.0,113860506,1,1,524.76,47.38,first_time_use,2,0,apartment,2.0,3.0,2.0,0,Lichtenberg_Lichtenberg,61.5,0,"Deutschmeisterstr. 9, 10367 Berlin, Germany",below_average
3996,194.0,oil_heating,0,1,40.0,1219.03,1989.0,112925452,1,1,982.03,79.26,well_kept,3,1,apartment,3.0,1.0,4.0,0,Steglitz_Steglitz,43.0,1,"Knausstraße  7, 12157 Berlin, Germany",below_average
3997,158.0,central_heating,0,0,40.0,719.0,1905.0,110786420,0,0,561.0,65.0,modernized,3,0,apartment,2.0,3.0,3.0,0,Spandau_Spandau,48.0,0,"Lynarstraße 16, 13585 Berlin, Germany",below_average
3998,130.0,central_heating,0,1,40.0,1590.0,2016.0,106662773,0,0,1350.0,112.5,mint_condition,2,0,roof_storey,3.0,4.0,4.0,0,Tegel_Reinickendorf,110.0,0,"Marzahnstraße 17, 13509 Berlin, Germany",above_average
3999,280.0,district_heating,0,1,40.0,1990.0,1991.0,106595476,0,0,1710.0,95.0,first_time_use_after_refurbishment,2,1,apartment,3.0,2.0,7.0,1,Charlottenburg_Charlottenburg,105.4,0,"Leibnizstrasse 78, 10625 Berlin, Germany",above_average
4000,140.0,district_heating,0,1,40.0,2169.54,2009.0,110664905,1,1,1919.54,139.4,well_kept,2,1,roof_storey,2.5,4.0,11.0,0,Friedrichshain_Friedrichshain,110.0,0,"Diestelmeyerstr. 3a, 10249 Berlin, Germany",above_average
4001,146.0,central_heating,0,1,40.0,866.0,1956.0,111370373,1,1,720.0,43.0,first_time_use_after_refurbishment,2,0,ground_floor,1.0,5.0,6.0,1,Schöneberg_Schöneberg,35.1,0,"Münchenerstr. 28, 10825 Berlin, Germany",below_average
4002,153.0,central_heating,0,1,40.0,725.0,1980.0,115325041,1,1,605.0,23.08,first_time_use,2,1,apartment,1.0,1.0,3.0,0,Schöneberg_Schöneberg,35.1,0,"Wexstraße 13-15, 10715 Berlin, Germany",below_average
4003,200.0,central_heating,0,1,2.4,1200.0,1980.0,106975213,1,1,1000.0,60.0,first_time_use,3,1,roof_storey,2.0,4.0,4.0,0,Mitte_Mitte,70.3,0,"Albrechtstraße 10d, 10117 Berlin, Germany",below_average
